textContents,textType,chartType
200,axis_label,
175,axis_label,
150,axis_label,
125,axis_label,
100,axis_label,
75,axis_label,
50,axis_label,
25,axis_label,
0,axis_label,
Number of monetizable daily active users in millions,axis_label,
Q1 '17,axis_label,
Q2 '17,axis_label,
Q3 '17,axis_label,
Q4 '17,axis_label,
Q1 '18,axis_label,
Q2 '18,axis_label,
Q3 '18,axis_label,
Q4 '18,axis_label,
Q1 '19,axis_label,
Q2 '19,axis_label,
Q3 '19,axis_label,
Q4 '19,axis_label,
Q1 '20,axis_label,
Q2 '20,axis_label,
Q3 '20,axis_label,
Q4 '20,axis_label,
Q1 '21,axis_label,
© Statista 2021,caption,
Show source,caption,
Additional Information,annotation,
