textContents,textType,chartType
Car/van (driver),legend,
Surface Rail,legend,
Car/van (passenger),legend,
London Underground,legend,
Other private transport*,legend,
Taxi/minicab,legend,
Other public transport**,legend,
Bus in London,legend,
Walk,legend,
Other local bus,legend,
Bicycle,legend,
Non-local bus,legend,
Motorcycle,legend,
0,axis_label,
50,axis_label,
100,axis_label,
150,axis_label,
200,axis_label,
250,axis_label,
300,axis_label,
350,axis_label,
400,axis_label,
450,axis_label,
Miles per person per year,axis_label,
Collapse statistic,button,
© Statista 2021,annotation,
Show source,annotation,
Additional Information,annotation,
7,value,
6,value,
4,value,
4,value,
3,value,
2,value,
2,value,
2,value,
2,value,
1,value,
120,value,
42,value,
375,value,
