textContents,textType,chartType
Share of immigrants,axis_label,
10%,tick_label,
9%,tick_label,
8%,tick_label,
7%,tick_label,
6.6%,annotation,
6%,tick_label,
5.7%,annotation,
5.6%,annotation,
5%,tick_label,
4%,tick_label,
3.7%,annotation,
5.4%,annotation,
5%,annotation,
6.2%,annotation,
6.6%,annotation,
7.4%,annotation,
7.4%,annotation,
7.4%,annotation,
7.3%,annotation,
8.5%,annotation,
9.3%,annotation,
1921,tick_label,
1926,tick_label,
1931,tick_label,
1936,tick_label,
1946,tick_label,
1954,tick_label,
1962,tick_label,
1968,tick_label,
1975,tick_label,
1982,tick_label,
1990,tick_label,
1999,tick_label,
2010,tick_label,
2015,tick_label,
Additional Information,caption,
© Statista 2021,caption,
Show source,caption,
