textContents,textType,chartType
Share of respondents,axis_label,
120%,axis_label,
100%,axis_label,
80%,axis_label,
60%,axis_label,
40%,axis_label,
20%,axis_label,
0%,axis_label,
Ukraine,annotation,
95%,annotation,
11%,annotation,
76%,annotation,
Lithuania,annotation,
20%,annotation,
78%,annotation,
91%,annotation,
Russia,annotation,
26%,annotation,
80%,annotation,
82%,annotation,
Ordinary people,legend,
Business owners,legend,
Politicians,legend,
© Statista 2021,caption,
Show source,annotation,
Additional Information,annotation,
