textContents,textType,chartType
Per capita oil consumption,title,
12 MWh,axis_label,
10 MWh,axis_label,
8 MWh,axis_label,
6 MWh,axis_label,
4 MWh,axis_label,
2 MWh,axis_label,
0 MWh,axis_label,
1965,axis_label,
1970,axis_label,
1975,axis_label,
1980,axis_label,
1984,axis_label,
Iran,legend,
Taiwan,legend,
Morocco,legend,
Source: Our World in Data based on BP Statistical Review of World Energy & UN Population Division,caption,
OurWorldInData.org/energy,annotation,
CC BY,annotation,
"Our World
in Data",caption,
