textContents,textType,chartType
Reserves in million metric tons,axis_label,
1 750,axis_label,
1 500,axis_label,
1 250,axis_label,
1 000,axis_label,
750,axis_label,
500,axis_label,
250,axis_label,
0,axis_label,
2009*,annotation,
2010,annotation,
2011,annotation,
2012,annotation,
2013,annotation,
2014,annotation,
2015,annotation,
2016,annotation,
2017,annotation,
2018,annotation,
2019,annotation,
2020,annotation,
1 154,data_point,
1 181.9,data_point,
1 216.1,data_point,
1 408.3,data_point,
1 407.2,data_point,
1 374.4,data_point,
1 355.4,data_point,
1 378.7,data_point,
1 360,data_point,
1 335.4,data_point,
1 374.8,data_point,
1 403.2,data_point,
Additional Information,caption,
© Statista 2021,caption,
Show source,caption,
