textContents,textType,chartType
Facebook Messenger,title,
WhatsApp,title,
iMesssage,title,
6%,annotation,
5%,annotation,
16%,annotation,
12%,annotation,
23%,annotation,
21%,annotation,
28%,annotation,
24%,annotation,
43%,annotation,
44%,annotation,
51%,annotation,
64%,annotation,
0%,axis_label,
10%,axis_label,
20%,axis_label,
30%,axis_label,
40%,axis_label,
50%,axis_label,
60%,axis_label,
70%,axis_label,
Share of respondents,axis_label,
Finland,legend,
Norway,legend,
Sweden,legend,
Denmark,legend,
Additional Information,caption,
© Statista 2021,caption,
Show source,caption,
