textContents,textType,chartType
Export quantity in thousand kilograms,axis_label,
600,axis_label,
500,axis_label,
400,axis_label,
300,axis_label,
200,axis_label,
100,axis_label,
0,axis_label,
2011,annotation,
2012,annotation,
2013,annotation,
2014,annotation,
2015,annotation,
2016,annotation,
273.21,annotation,
457.99,annotation,
178.52,annotation,
174.66,annotation,
207.43,annotation,
179.9,annotation,
© Statista 2021,caption,
Show source,caption,
Additional Information,caption,
