textContents,textType,chartType
6,axis_label,
4,axis_label,
2,axis_label,
0,axis_label,
-2,axis_label,
-4,axis_label,
Average weight change in kilograms,axis_label,
3,annotation,
2.2,annotation,
3.5,annotation,
3,annotation,
2.4,annotation,
-3.9,annotation,
-2.4,annotation,
-2.8,annotation,
-3.6,annotation,
-2.9,annotation,
Generation Z,annotation,
Millennials,annotation,
Generation X,annotation,
Boomers and Silents,annotation,
Total,annotation,
Gained weight,legend,
Lost weight,legend,
© Statista 2021,caption,
Show source,caption,
Additional Information,title,
