textContents,textType,chartType
Share of respondents,axis_label,
80%,annotation,
66%,annotation,
62%,annotation,
60%,annotation,
40%,annotation,
20%,annotation,
16%,annotation,
15%,annotation,
12%,annotation,
10%,annotation,
5%,annotation,
5%,annotation,
4%,annotation,
3%,annotation,
0%,annotation,
White,annotation,
Hispanic or Latino,annotation,
"African or African
descent",annotation,
"Asian-
American/Asian",annotation,
All others,annotation,
Freelancers,legend,
U.S. workers overall,legend,
Additional Information,caption,
© Statista 2021,annotation,
Show source,annotation,
