textContents,textType,chartType
Return on equity (ROE) ratio,axis_label,
22.5%,annotation,
20%,annotation,
17.5%,annotation,
15%,annotation,
12.5%,annotation,
10%,annotation,
8%,annotation,
7.5%,annotation,
5%,annotation,
2%,annotation,
2.5%,annotation,
0%,annotation,
10%,annotation,
8%,annotation,
13.8%,annotation,
19.7%,annotation,
15.7%,annotation,
2014,annotation,
2015,annotation,
2016,annotation,
2017,annotation,
2018,annotation,
2019,annotation,
2020*,annotation,
Additional Information,caption,
© Statista 2021,caption,
Show source,caption,
