textContents,textType,chartType
Use public transport,title,
Go to an amusement park,title,
Go to a concert,title,
Go to a political rally,title,
Go to sporting events,title,
Go to a theater performance,title,
Take a vacation,title,
Go to the gym,title,
Use a ride-hailing service,title,
Go to a museum,title,
Go to a movie theater,title,
Go to a shopping mall,title,
Go to a party or social event,title,
Go to a work conference,title,
Go to a religious gathering or meeting,title,
Invest in the stock market,title,
Go out to eat in a restaurant or cafe,title,
Vote in a political election,title,
Go to the grocery store,title,
0%,axis_label,
20%,axis_label,
40%,axis_label,
60%,axis_label,
80%,axis_label,
100%,axis_label,
120%,axis_label,
Percentage of respondents,axis_label,
Less likely,legend,
Neither more nor less likely,legend,
Don't know/no opinion,legend,
More likely,legend,
Collapse statistic,annotation,
Additional Information,annotation,
© Statista 2021,annotation,
Show source,annotation,
