textContents,textType,chartType
80%,axis_label,
Share of respondents,axis_label,
20%,axis_label,
0%,axis_label,
Nov '03,axis_label,
Nov '04,axis_label,
Oct '05,axis_label,
Sep '06,axis_label,
Sep '07,axis_label,
Sep '08,axis_label,
Sep '09,axis_label,
Sep '10,axis_label,
Nov '11,axis_label,
Oct '12,axis_label,
Oct '13,axis_label,
Oct '14,axis_label,
Oct '15,axis_label,
Oct '16,axis_label,
Oct '17,axis_label,
Oct '18,axis_label,
Oct '19,axis_label,
Too many,legend,
Not enough,legend,
Just the right number,legend,
Don't know,legend,
Additional Information,caption,
© Statista 2021,caption,
Show source,caption,
