textContents,textType,chartType
"Share of the population living in urban areas, 1950",title,
"Share of the total population living in urban areas, with UN urbanization projections to 2050.",caption,
Palestine,annotation,
El Salvador,annotation,
Reunion,annotation,
South Sudan,annotation,
0%,axis_label,
5%,axis_label,
10%,axis_label,
15%,axis_label,
20%,axis_label,
25%,axis_label,
30%,axis_label,
35%,axis_label,
8.87% (1950),annotation,
23.49% (1950),annotation,
36.51% (1950),annotation,
37.3% (1950),annotation,
"Our World
in Data",legend,
Source: OWID based on UN World Urbanization Prospects 2018 and historical sources (see Sources) OurWorldInData.org/urbanization  CC BY,caption,
Note: Urban areas are defined based on national definitions which can vary by country.,caption,
