textContents,textType,chartType
Estimated number of Christians in millions,axis_label,
2 500%,axis_tick_label,
2 000%,axis_tick_label,
1 500%,axis_tick_label,
1 000%,axis_tick_label,
502.9%,data_label,
500%,axis_tick_label,
856.36%,data_label,
0%,axis_tick_label,
Global North,category_label,
108.91%,data_label,
Global South,category_label,
1 327.7%,data_label,
World Total,category_label,
611.81%,data_label,
2 184.06%,data_label,
1910,legend,
2010,legend,
© Statista 2021,annotation,
Show source,annotation,
Additional Information,caption,
