textContents,textType,chartType
"Share of marine territorial waters that are protected, 2016",title,
"Marine protected areas are areas of intertidal or subtidal terrain - and overlying water and associated flora and
fauna and historical and cultural features - that have been reserved by law or other effective means to protect part
or all of the enclosed environment.",caption,
Greenland,annotation,
Mauritania,annotation,
Indonesia,annotation,
Ireland,annotation,
0%,axis_label,
1%,axis_label,
2%,axis_label,
3%,axis_label,
4%,axis_label,
4.52%,annotation,
4.15%,annotation,
2.88%,annotation,
2.33%,annotation,
Source: World Database on Protected Areas (WDPA),caption,
"Our World
in Data",legend,
CC BY,legend,
