textContents,textType,chartType
Global incidence of child labor,title,
Share of children ages 5-17 involved in economic activity for at least one hour in the reference week of the corresponding survey (irrespective of school attendance),caption,
20%,axis_label,
15%,axis_label,
10%,axis_label,
5%,axis_label,
0%,axis_label,
2004,axis_label,
2005,axis_label,
2006,axis_label,
2007,axis_label,
2008,axis_label,
2009,axis_label,
2010,axis_label,
2011,axis_label,
2012,axis_label,
"Child Labor (Boys, World, 2000-2012)",legend,
(ILO),legend,
"Child Labor (All, World, ILO-IPEC)",legend,
"Child Labor (Girls, World, 2000-2012)",legend,
(ILO),legend,
Source: ILO - Marking Progress Against Child Labor,annotation,
OurWorldInData.org/child-labor/ • CC BY,annotation,
"Our World
in Data",annotation,
