textContents,textType,chartType
Majority of Americans say the country 'can always find ways to solve our problems',title,
% who say ...,subtitle,
"As Americans, we can always find ways to solve our problems and get what we want",annotation,
This country can't solve many of its important problems,annotation,
Total,axis_label,
57,data_value,
41,data_value,
Rep/Lean Rep,axis_label,
65,data_value,
32,data_value,
Dem/Lean Dem,axis_label,
50,data_value,
48,data_value,
Note: No answer responses not shown.,caption,
"Source: Survey of U.S. adults conducted July 27-Aug. 2, 2020.",caption,
PEW RESEARCH CENTER,footer,
