textContents,textType,chartType
Older U.S. adults see COVID-19 outbreak as a major threat to their personal health; younger Americans say it is a major threat to their finances,title,
% who say the coronavirus outbreak is a major threat to ...,caption,
Your personal financial situation,axis_label,
Your personal health,axis_label,
All adults,annotation,
41%,annotation,
38%,annotation,
Ages 18-29,annotation,
40,annotation,
26,annotation,
30-49,annotation,
43,annotation,
34,annotation,
50-64,annotation,
46,annotation,
43,annotation,
65+,annotation,
32,annotation,
49,annotation,
"Source: Survey of U.S. adults conducted April 29-May 5, 2020.",caption,
PEW RESEARCH CENTER,caption,
