textContents,textType,chartType
Rising share say U.S. economic ties with China are bad,title,
% who say current economic ties between the U.S. and China are ...,caption,
100%,axis_label,
Bad,legend,
68,annotation,
53,annotation,
41,annotation,
30,annotation,
Good,legend,
0,axis_label,
2019,axis_label,
2020,axis_label,
Note: Don't know responses not shown.,annotation,
"Source: Survey of U.S. adults conducted June 16-July 14, 2020. Q16.",annotation,
"""Americans Fault China for Its Role in the Spread of COVID-19""",annotation,
PEW RESEARCH CENTER,annotation,
