textContents,textType,chartType
Countries with best athlete-to-medal ratio,title,
2012 games,caption,
Paralympic athletes per medal,axis_label,
Total medals,axis_label,
Paralympic athletes per gold medal,axis_label,
Total golds,axis_label,
0,axis_label,
1,axis_label,
2,axis_label,
3,axis_label,
0,axis_label,
2,axis_label,
4,axis_label,
6,axis_label,
8,axis_label,
Olympic athletes per medal,axis_label,
Olympic athletes per gold medal,axis_label,
Total medals,legend,
Total golds,legend,
Fiji,legend_item,
China,legend_item,
Tunisia,legend_item,
Algeria,legend_item,
Cuba,legend_item,
New Zealand,legend_item,
Russia,legend_item,
Ukraine,legend_item,
Switzerland,legend_item,
Australia,legend_item,
Macedonia,legend_item,
Angola,legend_item,
Kenya,legend_item,
South Africa,legend_item,
Nigeria,legend_item,
Azerbaijan,legend_item,
Germany,legend_item,
Netherlands,legend_item,
Hong Kong,legend_item,
United States,legend_item,
Hungary,legend_item,
Great Britain,legend_item,
Austria,legend_item,
Namibia,legend_item,
Romania,legend_item,
Macedonia,legend_item,
Jamaica,legend_item,
Angola,legend_item,
Iceland,legend_item,
Ukraine,legend_item,
Nigeria,legend_item,
New Zealand,legend_item,
Namibia,legend_item,
Romania,legend_item,
Russia,legend_item,
Australia,legend_item,
Ireland,legend_item,
Belarus,legend_item,
Kenya,legend_item,
Serbia,legend_item,
Chile,legend_item,
Poland,legend_item,
Norway,legend_item,
United States,legend_item,
South Africa,legend_item,
Grenada,legend_item,
China,legend_item,
Ethiopia,legend_item,
Jamaica,legend_item,
United States,legend_item,
North Korea,legend_item,
Iran,legend_item,
Uganda,legend_item,
Kazakhstan,legend_item,
Russia,legend_item,
Great Britain,legend_item,
Hungary,legend_item,
South Korea,legend_item,
Bahamas,legend_item,
Cuba,legend_item,
Kenya,legend_item,
Trinidad and Tobago,legend_item,
Azerbaijan,legend_item,
Netherlands,legend_item,
France,legend_item,
New Zealand,legend_item,
Norway,legend_item,
Lithuania,legend_item,
Dominican Republic,legend_item,
Czech Republic,legend_item,
Sources: London 2012; The Economist,annotation,
