textContents,textType,chartType
Apples and Oranges,title,
"As Apple stock has surged, trading in company shares has fallen, while trading in its options has risen.",caption,
$750,axis_label,
Daily share price,axis_label,
500,axis_label,
250,axis_label,
0,axis_label,
2010,axis_label,
'11,axis_label,
'12,axis_label,
Tue.,annotation,
$608.21,annotation,
30,axis_label,
"Share volume, in millions",axis_label,
20,axis_label,
10,axis_label,
0,axis_label,
2Q,annotation,
15.05,annotation,
800,axis_label,
600,axis_label,
400,axis_label,
200,axis_label,
0,axis_label,
2010,axis_label,
'11,axis_label,
'12,axis_label,
"Options volume, in thousands",axis_label,
2Q,annotation,
733.82,annotation,
Sources: Market Data Group (share price); FactSet (share volume); TradeAlert The Wall Street Journal,caption,
