textContents,textType,chartType
Arms sales to developing countries,title,
"2011$bn, deliveries made by:",caption,
United States,legend,
Russia,legend,
Britain,legend,
China,legend,
Other Europe,legend,
Rest of world,legend,
33,annotation,
"Arms contracts, 2011$bn",annotation,
2004,axis_label,
05,axis_label,
06,axis_label,
07,axis_label,
08,axis_label,
09,axis_label,
10,axis_label,
11,axis_label,
30,axis_label,
25,axis_label,
20,axis_label,
15,axis_label,
10,axis_label,
5,axis_label,
0,axis_label,
Source: Congressional Research Service,source,
