textContents,textType,chartType
Tractors per hectare of arable land,title,
2009 or latest,caption,
0,axis_label,
0.1,axis_label,
0.2,axis_label,
0.3,axis_label,
0.4,axis_label,
0.5,axis_label,
0.6,axis_label,
Iceland,data_label,
Slovenia,data_label,
Japan,data_label,
Switzerland,data_label,
Austria,data_label,
Italy,data_label,
"Trinidad and
Tobago",data_label,
Norway,data_label,
Netherlands,data_label,
Poland,data_label,
South Korea,data_label,
Greece,data_label,
Germany,data_label,
Spain,data_label,
Britain,data_label,
France,data_label,
United States,data_label,
Canada,data_label,
Brazil,data_label,
India,data_label,
China,data_label,
Russia,data_label,
"Contribution of
agricluture to
GDP, 2011, %",legend,
1.6,data_label,
5.4,data_label,
2.6,data_label,
1.2,data_label,
1.3,data_label,
1.5,data_label,
2.0,data_label,
0.3,data_label,
2.8,data_label,
2.7,data_label,
3.6,data_label,
2.7,data_label,
3.6,data_label,
0.8,data_label,
3.2,data_label,
0.7,data_label,
1.8,data_label,
1.2,data_label,
1.7,data_label,
5.5,data_label,
17.2,data_label,
10.1,data_label,
5.4,data_label,
Sources: World Bank; Economist Intelligence Unit,source,
