textContents,textType,chartType
Mobile-phone market,title,
Apple,legend,
Samsung,legend,
HTC,legend,
Nokia,legend,
RIM,legend,
LG,legend,
Sony Ericsson,legend,
Motorola,legend,
"Share of operating profits, %",axis_label,
"Share of smartphone unit sales, %",axis_label,
2007,axis_tick,
08,axis_tick,
09,axis_tick,
10,axis_tick,
11,axis_tick,
12,axis_tick,
"Operating profits, July 2011-Jun 2012, $bn",caption,
"Smartphone sales, July 20 11-Jun 2012, units m",caption,
Apple,label,
Samsung,label,
HTC,label,
RIM,label,
Nokia,label,
Sony Ericsson,label,
Motorola,label,
LG,label,
Samsung,label,
Apple,label,
Nokia,label,
RIM,label,
HTC,label,
LG,label,
Motorola,label,
Sony Ericsson,label,
Sources: Asymco; company reports,annotation,
