textContents,textType,chartType
"The Economist ""Which MBA?"" 2012",title,
Ranking of full-time MBA programmes,caption,
"Rank,",axis_label,
2012,axis_label,
(2011),axis_label,
Business,axis_label,
school,axis_label,
Country,axis_label,
Average salary of new graduates,axis_label,
"Increase on pre-MBA salary, %",axis_label,
"Graduates in jobs within 3 months, %",axis_label,
"Faculty with a PhD, %",axis_label,
Average age of students,axis_label,
"Average experience of students, months",axis_label,
"Total tuition fees, $",axis_label,
"Duration of programme, months",axis_label,
Chicago (Booth),data_value,
Dartmouth (Tuck),data_value,
Virginia (Darden),data_value,
Harvard,data_value,
Columbia,data_value,
California at Berkeley (Haas),data_value,
MIT (Sloan),data_value,
Stanford,data_value,
IESE,data_value,
IMD,data_value,
New York (Stern),data_value,
London,data_value,
Pennsylvania (Wharton),data_value,
HEC Paris,data_value,
Cornell (Johnson),data_value,
York (Schulich),data_value,
Carnegie Mellon (Tepper),data_value,
ESADE,data_value,
INSEAD,data_value,
Northwestern (Kellogg),data_value,
Emory (Goizueta),data_value,
IE,data_value,
UCLA (Anderson),data_value,
Michigan (Ross),data_value,
Bath,data_value,
Source: The Economist,caption,
