textContents,textType,chartType
GDP and world trade,title,
GDP,caption,
% change on previous quarter at annual rate,axis_label,
G7,legend,
United States,legend,
Euro-zone three*,legend,
FORECAST,annotation,
Trade in goods and services,title,
% change on previous quarter at annual rate,axis_label,
Purchasing managers' index,title,
Global manufacturing new export orders†,caption,
30,axis_label,
20,axis_label,
10,axis_label,
0,axis_label,
10,axis_label,
20,axis_label,
30,axis_label,
40,axis_label,
65,axis_label,
60,axis_label,
55,axis_label,
50,axis_label,
45,axis_label,
40,axis_label,
35,axis_label,
30,axis_label,
"Source: OECD, Markit",annotation,
"* Germany, France and Italy",annotation,
† Values over 50 signify an increase in orders,annotation,
