textContents,textType,chartType
Urbanisation and income,title,
Change between 1985 and 2010,caption,
East Asia and Pacific,title,
Sub-Saharan Africa,title,
"Urbanisation rate, %",axis_label,
"GDP per person, $2000, log scale",axis_label,
"GDP per person, $2000, log scale",axis_label,
Malaysia,annotation,
Indonesia,annotation,
China,annotation,
Vietnam,annotation,
Thailand,annotation,
Liberia,annotation,
Cameroon,annotation,
Nigeria,annotation,
Ghana,annotation,
Madagascar,annotation,
Guinea Bissau,annotation,
Zimbabwe,annotation,
Kenya,annotation,
Ethiopia,annotation,
Source: World Bank,source,
