textContents,textType,chartType
BRITAIN,annotation,
RUSSIA,annotation,
CANADA,annotation,
GERMANY,annotation,
FRANCE,annotation,
"UNITED
STATES",annotation,
SPAIN,annotation,
ITALY,annotation,
CHINA,annotation,
INDIA,annotation,
JAPAN,annotation,
SOUTH KOREA,annotation,
OVERALL DEBT,title,
"% of GDP, latest",caption,
Over 400,legend,
300-399,legend,
200-299,legend,
0-199,legend,
BRAZIL,annotation,
0,axis_label,
100,axis_label,
200,axis_label,
300,axis_label,
400,axis_label,
500,axis_label,
600,axis_label,
Japan,label,
Britain,label,
Spain,label,
France,label,
South Korea,label,
Italy,label,
United States,label,
Germany,label,
Canada,label,
China,label,
Brazil,label,
India,label,
Russia,label,
