textContents,textType,chartType
State statistics,title,
"Population, 2011, %",caption,
Virginia,legend,
National average,legend,
0,axis_label,
10,axis_label,
20,axis_label,
30,axis_label,
40,axis_label,
Black,axis_label,
Hispanic,axis_label,
Under 25,axis_label,
Blue-collar workers,axis_label,
Unemployment rate*,axis_label,
"Virginia total, m",axis_label,
Income and foreclosure,title,
National average,legend,
Virginia,legend,
"Household income, $",table_header,
2011,table_data,
2008+,table_data,
"Foreclosure rates, Aug 2012",table_header,
"Presidential election voting, 2008",title,
Obama (52.6%),legend,
McCain (46.3%),legend,
"Winning margin: 234,527 (out of a total of 3,723,260 votes)",annotation,
"Electoral College votes, 2012: 13",annotation,
200 km,axis_label,
"Poll ratings, %",title,
Average September 11th to 19th 2012,caption,
Barack Obama,axis_label,
Mitt Romney,axis_label,
Sources: Census Bureau; RealClearPolitics.com; Virginia State Board of Elections,source,
*August 2012,annotation,
†Median,annotation,
2011 dollars,annotation,
$Of total housing units,annotation,
