textContents,textType,chartType
Sanitation coverage increased from 49 per cent in 1990 to 63 per cent in 2010,title,
FIGURE 14,annotation,
IMPROVED,legend,
SHARED,legend,
UNIMPROVED,legend,
OPEN DEFECATION,legend,
Coverage (%),axis_label,
1990,annotation,
2010,annotation,
49,annotation,
63,annotation,
25,annotation,
15,annotation,
11,annotation,
20,annotation,
11,annotation,
6,annotation,
"Trend in the proportion of the global population using improved, shared or unimproved sanitation or practising open defecation, 1990-2010",caption,
