textContents,textType,chartType
State statistics,title,
"Population, 2010, %",caption,
Colorado,legend,
National average,legend,
Income and foreclosure,title,
National average,legend,
Colorado,legend,
"Household incomet, $",axis_label,
2011,annotation,
2008,annotation,
"Foreclosure rate*, Aug 2012",axis_label,
Black,axis_label,
Hispanic,axis_label,
Under 25,axis_label,
Blue-collar workers,axis_label,
Unemployment rate,axis_label,
"Colorado total, m",title,
"Poll ratings, %",title,
Average September 9th to 17th 2012,caption,
Barack Obama,axis_label,
Mitt Romney,axis_label,
"Presidential election voting, 2008",title,
Obama (53.7%),annotation,
McCain (44.7%),annotation,
"Winning margin: 215,004 (out of a total of 2,401,462 votes)",annotation,
"Electoral College votes, 2012: 9",annotation,
0,axis_label,
10,axis_label,
20,axis_label,
30,axis_label,
40,axis_label,
50,axis_label,
Sources: Census Bureau; Colorado secretary of state; RealClearPolitics.com,annotation,
5.1,annotation,
