textContents,textType,chartType
Squeezing In,title,
The city is considering allowing zoning for 275- to 300-square-foot micro-apartments. How they would compare with some of Mayor Michael Bloomberg's places:,caption,
Micro-apartment:,legend,
300 sq. ft.,annotation,
Mayor's first NYC apartment:,legend,
600 sq. ft.,annotation,
Mayor's Upper East Side townhouse:,legend,
"12,500 sq. ft.",annotation,
Mayor's Southampton estate:,legend,
"22,000 sq. ft.",annotation,
The Wall Street Journal,attribution,
