textContents,textType,chartType
Steel Trap? | China builds more mills in the face of a glut,title,
With China's economy slowing...,caption,
"Change in GDP from a year earlier, quarterly",caption,
15%,axis_label,
12,axis_label,
9,axis_label,
6,axis_label,
3,axis_label,
0,axis_label,
2010,axis_label,
11,axis_label,
12,axis_label,
"...the country is turning to investment spending, especially in the steel industry.",caption,
China's steel industry capacity,caption,
1.0 billion tons,axis_label,
0.8,axis_label,
0.6,axis_label,
0.4,axis_label,
0.2,axis_label,
0,axis_label,
'02,axis_label,
'05,axis_label,
'10,axis_label,
'14,axis_label,
Proj,annotation,
But the industry is losing money as domestic demand declines...,caption,
China's pretax margin on steel,caption,
10%,axis_label,
8,axis_label,
6,axis_label,
4,axis_label,
2,axis_label,
0,axis_label,
'02,axis_label,
'05,axis_label,
'10,axis_label,
'12,axis_label,
"...leading to concerns that China will boost steel exports, prompting trade fights, as the world deals with a steel glut.",caption,
2.5 billion tons,axis_label,
2.0,axis_label,
1.5,axis_label,
1.0,axis_label,
0.5,axis_label,
0,axis_label,
'02,axis_label,
'05,axis_label,
'10,axis_label,
'13,axis_label,
Global steelmaking capacity,legend,
Apparent consumption:,legend,
Crude steel,legend,
Finished steel,legend,
Proj,annotation,
*2012 figure is through the first quarter.,annotation,
Sources: China's National Bureau of Statistics (GDP); Citigroup (China steel); OECD; World Steel Dynamics,annotation,
The Wall Street Journal,annotation,
