textContents,textType,chartType
State statistics,title,
"Population, 2011, %",axis_label,
Wisconsin,legend,
National average,legend,
Black,axis_label,
Hispanic,axis_label,
Under 25,axis_label,
Blue-collar workers,axis_label,
Unemployment rate,axis_label,
"Wisconsin total, m",axis_label,
"Poll ratings, %",axis_label,
Average September 27th to October 9th 2012,caption,
Households,title,
Wisconsin,legend,
National average,legend,
"Median income, $",axis_label,
2011,annotation,
2008+,annotation,
"Foreclosure rates, Aug 2012",axis_label,
"Presidential election voting, 2008",title,
Obama (56.2%),legend,
McCain (42.3%),legend,
"Winning margin: 414,818 (out of a total of 2,983,417 votes)",annotation,
"Electoral College votes, 2012: 10",annotation,
0,axis_label,
10,axis_label,
20,axis_label,
30,axis_label,
40,axis_label,
50,axis_label,
0,axis_label,
5,axis_label,
10,axis_label,
15,axis_label,
20,axis_label,
25,axis_label,
Barack Obama,annotation,
Mitt Romney,annotation,
Sources: Census Bureau; RealtyTrac; RealClearPolitics.com; Wisconsin State Elections Board,caption,
5.7,annotation,
200 km,annotation,
*August 2012,annotation,
+September 2012,annotation,
#2011 dollars,annotation,
% of total housing units,annotation,
